SampleID,SourceRack,SourcePosition,DestRack,DestPosition, Sample, Diluent
230703-0267-01,SigA1230707AZ,A2,SigA2230707BB,A2,10.00,500.00
230703-0270-01,SigA1230707AZ,B2,SigA2230707BB,B2,10.00,500.00
230703-0271-02,SigA1230707AZ,C2,SigA2230707BB,C2,10.00,500.00
